Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",0,4.04,Atria Books,Paperback,359,2018,2017,,2020/04/07,"to-read, ebook-collection","to-read (#42), ebook-collection (#41)",to-read,,,,0,0
55711617,"My Heart Is a Chainsaw (The Indian Lake Trilogy, #1)",Stephen Graham Jones,"Jones, Stephen Graham",,"=""1982137630""","=""9781982137632""",0,3.52,Gallery / Saga Press,Hardcover,405,2021,2021,,2021/11/20,"to-read, ebook-collection","to-read (#170), ebook-collection (#93)",to-read,,,,0,0
54798175,Later,Stephen        King,"King, Stephen",,"=""""","=""""",0,3.97,Hard Case Crime,Kindle Edition,248,2021,2021,,2021/10/24,"to-read, ebook-collection","to-read (#138), ebook-collection (#189)",to-read,,,,0,0
59788404,A Visible Man: A Memoir,Edward Enninful,"Enninful, Edward",,"=""0593299485""","=""9780593299487""",0,4.13,Penguin Press,Hardcover,288,2022,2022,,2022/12/04,"to-read, paper-collection","to-read (#10), paper-collection (#118)",to-read,,,,0,0
23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,"Harris, Thomas",,"=""""","=""""",0,4.25,Arrow Books,Paperback,421,2002,1988,,2020/04/10,"to-read, ebook-collection","to-read (#48), ebook-collection (#190)",to-read,,,,0,0
57690123,"The Maid (Molly the Maid, #1)",Nita Prose,"Prose, Nita",,"=""""","=""""",4,3.75,Ballantine Books,Kindle Edition,385,2022,2022,2023/03/25,2022/01/10,"ebook-collection, read-ebooks, murder, mystery, light","ebook-collection (#188), read-ebooks (#54), murder (#13), mystery (#20), light (#5)",read,,,,1,0
60007818,Mexican Gothic,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""1529402689""","=""9781529402681""",4,3.67,Jo Fletcher Books,Paperback,301,2020,2020,2022/02/26,2020/09/04,"read-paper, paper-collection, ebook-collection, horror","read-paper (#60), paper-collection (#119), ebook-collection (#125), horror (#4)",read,,,,1,0
519243,"Curtain: Poirot's Last Case (Hercule Poirot, #44)",Agatha Christie,"Christie, Agatha",,"=""0002316196""","=""9780002316194""",0,4.10,HarperCollins,Hardcover,240,2009,1975,,2024/07/24,"to-read, paper-collection, ebook-collection","to-read (#312), paper-collection (#6), ebook-collection (#9)",to-read,,,,0,0
32925790,Rei Kawakubo/Comme des Garçons: Art of the In-Between,Andrew Bolton,"Bolton, Andrew",,"=""1588396207""","=""9781588396204""",5,4.53,Metropolitan Museum of Art,Hardcover,248,2017,,,2020/08/27,"met-gala-collection, read-paper, paper-collection","met-gala-collection (#2), read-paper (#28), paper-collection (#61)",read,,,,1,0
46158573,The Turn of the Key,Ruth Ware,"Ware, Ruth",,"=""1784708097""","=""9781784708092""",3,3.91,RUKH,Paperback,343,2020,2019,2022/03/10,2020/04/07,"source-library, read-paper","source-library (#6), read-paper (#36)",read,,,,1,0
